FID,PD,LPI,ED,LSI,CONTAG,SHDI,SHEI,AI
11974,40.0327,80.61,132.8965,3.1163,32.6236,0.4918,0.7096,80.3616
11975,42.5347,93.7037,60.2464,1.9091,67.1647,0.235,0.3391,89.8773
11976,58.8942,72.6496,176.6842,2.9677,18.9134,0.5825,0.8404,73.779
11977,91.1458,63.4921,242.0614,2.4062,6.2582,0.6563,0.9468,62.6602
11978,5.8894,99.4872,6.0826,1.1125,95.5134,0.0322,0.0464,98.9465
11979,11.7788,86.1538,60.8257,1.625,51.1254,0.4022,0.5802,92.4215
11980,51.0417,94.8148,45.1848,1.375,72.4021,0.2039,0.2942,93.2626
11981,22.9687,93.2308,53.7004,2.0098,66.644,0.2476,0.3573,92.3405
11982,53.1684,90.7407,90.9972,2.2083,56.1689,0.3085,0.4451,86.4697
11983,47.4918,92.8571,71.3444,1.8485,63.7949,0.2573,0.3712,89.3102
11984,22.4304,97.6562,22.5041,1.2656,85.0456,0.1111,0.1603,96.7391
11985,41.7614,94.5455,61.6156,1.4762,68.7289,0.2117,0.3054,91.048
11986,43.2943,50.9921,213.1485,4.5222,6.0389,0.6771,0.9769,68.3976
11987,148.8715,88.8889,125.5133,1.6667,51.2484,0.3488,0.5033,79.1328
11988,35.8887,85.4167,87.369,2.2375,46.0993,0.4108,0.5926,87.4721
11989,88.3413,76.9231,175.96,2.2857,23.2674,0.5402,0.7793,73.0969
11990,35.4327,87.6588,83.6452,2.4681,50.6867,0.3701,0.5339,87.7663
11991,39.2628,93.1624,43.4469,1.3409,67.7424,0.2494,0.3598,94.6384
11992,34.4531,66.0,127.0822,2.3276,18.4001,0.641,0.9248,81.7487
11993,46.9815,43.6364,200.2508,3.2333,5.7627,0.685,0.9883,69.9886
11994,34.4531,75.5,93.1936,2.375,32.9212,0.5452,0.7866,87.0689
11995,41.0156,67.6871,185.0041,4.2755,14.2228,0.6228,0.8984,72.6699
11996,25.5208,95.8333,37.654,1.5263,76.4507,0.1732,0.2499,94.618
11997,56.2172,57.3427,220.3944,2.9375,4.9081,0.6778,0.9778,67.2314
11998,114.8437,95.0,50.8329,1.1667,71.9058,0.1985,0.2864,91.7241
